,PARK_NAME,PARK_TYPE,SUB_TYPE,AREA_HECTARES,ACCESS_POINTS
0,THATCHER PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.067,"THATCHER CRT, MONDRAGON CIR"
1,KINDLE PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.17300000000000001,"KINDLE CRT, ELMVALE AVE"
2,SUNCREST PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.37,"SUNCREST DR, RED MAPLE DR"
3,JORGEN JENSEN PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.091,"COURTLEIGH SQ, SANDALWOOD PKY E, KENNEDY RD N"
4,CONESTOGA PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.098,"CONESTOGA DR, FANSHAWE DR"
5,RC CHARLTON PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.7909999999999999,"JAMES POTTER DR, OBLATE CRES, PEFFERLAW CIR"
6,NORTH MILL PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.249,MILL ST N
7,PICKARD PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.344,"WITHERS WAY, ALBRIGHT RD"
8,ZION PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.013000000000000001,
9,GARBUTT PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.17800000000000002,"GARBUTT CR, COX CR"
10,TODD EDWARD BAYLIS PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.667,AURORA PL
11,COPELAND WOODS,ENVIRONMENTAL PARKS,VALLEY,1.1540000000000001,"JAMES POTTER RD, OBLATE CRES, CHAROLAIS BLVD"
12,AMBERWOOD PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.134,"AMBERWOOD SQ, CONESTOGA DR"
13,SNELGROVE RECREATION CENTRE,COMMUNITY PARKS,COMMUNITY SPORTS PARK,0.8109999999999999,"HURONTARIO ST, MAPLESHADE DR"
14,ARMBRO PARK,NEIGHBOURHOOD PARKS,LOCAL,1.653,"WILLIAMS PKWY, HARRIDINE RD, ROTHERGLEN CT"
15,MARABOO PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.107,"KINDLE CRT, SOMERSET DR, MARABOO CRT"
16,JOYCE ARCHDEKIN PARK,CONSERVATION AUTHORITY-OWNED LANDS(CITY MAINTAINED),CONSERVATION AREA,8.498,"MILL ST S, ELGIN DR, MAIN ST S"
17,DRIFTWOOD PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.213,"KENNEDY RD N, OLEANDER CRES, DRIFTWOOD CRES"
18,PENDERGAST PARK,ENVIRONMENTAL PARKS,WOODLOT,5.471,"MCVEAN RD, RYCKMAN LANE"
19,CIVIC CENTRE,OPERATIONS/ADMINISTRATION FACILITIES,OPERATIONS/ADMINISTRATION FACILITY,2.378,"CENTRAL PARK DR, KNIGHTSBRIDGE RD"
20,WIGGINS PARK,NEIGHBOURHOOD PARKS,LOCAL,1.761,EGYPT DR
21,TALBOT PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.274,"TALBOT ST, VODDEN ST W, ENGLISH ST"
22,ELDERBANK PARKETTE,ENVIRONMENTAL PARKS,WOODLOT,0.057,ELDERBANK CRT
23,BERESFORD PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.158,"CALDERSTONE RD, LYNBROOK CRES, BERESFORD CRES"
24,NANCY MCCREDIE PARK,NEIGHBOURHOOD PARKS,VEST POCKET,0.457,"NANCY MCCREDIE DR, VODDEN ST W"
25,FANSHAWE PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,3.721,"TRAVERSTON CRT, NOTTAWASAGA CRES, FANSHAWE DR"
26,SOMERSET PARKETTE,NEIGHBOURHOOD PARKS,LINK,0.055999999999999994,"SOMERSET DR, FANSHAWE DR"
27,DARWIN PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.191,"DARWIN PL, SHELBOURNE CRT"
28,SANDALWOOD PARK,NEIGHBOURHOOD PARKS,LOCAL,3.755,"SANDALWOOD PKWY E, CONESTOGA DR, SUTTER AV"
29,SMIRLE BIG TRAIN LAWSON PARK,NEIGHBOURHOOD PARKS,PARKETTE,3.755,"PANNAHILL DR, STRATHDALE RD"
30,ENGLISH STREET PARK,NEIGHBOURHOOD PARKS,LOCAL,1.801,"ENGLISH ST, ALISON CT, ROSEBUD AV"
31,SUNFOREST PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.135,SUNFOREST DR
32,CHEVAL PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.479,CHEVAL CRT
33,CRAWLEY PARK,ENVIRONMENTAL PARKS,CHANNEL,5.369,"CRAWLEY DR, CLOVERDALE DR, BALMORAL DR, CLARK BV"
34,ALOMA PARK,NEIGHBOURHOOD PARKS,LOCAL,5.94,"AVONDALE BLVD, ALGONQUIN BLVD, ASHWOOD CRES, ALEXANDRIA CRES, ALDERBURY CRES"
35,CLARK PARK,NEIGHBOURHOOD PARKS,LOCAL,9.782,"CLARK BLVD, BALMORAL DR, CAVENDISH CRES, CRAWLEY DR"
36,JESSIE PARK,ENVIRONMENTAL PARKS,VALLEY,1.807,"QUEEN ST W, JESSIE ST"
37,EARNIE MITCHELL PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.1,"SCOTT ST, QUEEN ST E, MAPLE AV"
38,OSTRANDER PARK NORTH,ENVIRONMENTAL PARKS,VALLEY,0.165,"OSTRANDER BLVD, MISSISSAUGA RD"
39,DONN REYNOLDS PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.402,"ROYAL ORCHARD DR, SPRINGVIEW DR, ARJAY TR"
40,REGENTVIEW PARKETTE,ENVIRONMENTAL PARKS,VISTA,0.35600000000000004,REGENTVIEW DR
41,MEADOWLARK PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.07,MEADOWLARK DR
42,LLOYD SANDERSON PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.199,LOCKWOOD RD
43,KINCAID PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.29,"KINCAID CRT, PRIMROSE CRES, KLINE CRT"
44,BOVAIRD HOUSE,COMMUNITY PARKS,COMMUNITY PARK,0.9009999999999999,"BOVAIRD DR E, SIMMONS BLVD"
45,MERGANSER PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.215,MERGANSER CRES
46,SPRINGDALE BRANCH LIBRARY AND KOMAGATA MARU PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.704,
47,FENWICK PARK EAST,ENVIRONMENTAL PARKS,LINK,0.11599999999999999,
48,OWLRIDGE CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,1.3769999999999998,"WILLIAMS PKWY, JAMES POTTER RD"
49,ROYAL PALM PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.114,"RUSHMORE CRES, ROYAL PALM DR"
50,VIA ROMANO PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.8109999999999999,"ZIA DODDA CRES, HOYLE DR, VIA RAMANO WAY"
51,SNELL PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.293,"LANSING SQ, PRIMROSE CRES, KENNEDY RD N"
52,PRIMROSE PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.159,"PRIMROSE CRES, KENNEDY RD N"
53,CRENSHAW PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.214,"CRENSHAW CRT, TREWARTHA CRES"
54,COUNTY COURT PARK,COMMUNITY PARKS,COMMUNITY PARK,5.922999999999999,COUNTY COURT BLVD
55,ADDINGTON PARK,ENVIRONMENTAL PARKS,CHANNEL,1.867,"BALMORAL DR, APPLEBY DR, ALGONQUIN BLVD, ADDINGTON CRES"
56,SIR WINSTON CHURCHILL PARK,ENVIRONMENTAL PARKS,LINK,1.031,CENTRE ST S
57,KEN WHILLANS SQUARE,CITY PARKS,CITY PARK,0.56,"WELLINGTON ST W, MAIN ST S, GEORGE ST S, QUEEN ST W"
58,MARTINDALE PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.6409999999999999,"MARTINDALE CR, WHEATFIELD RD"
59,SOUTHWELL PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.11,SOUTHWELL PL
60,COWTON FAMILY MEADOW,ENVIRONMENTAL PARKS,VALLEY,3.72,"WILLIAMS PKWY W, MCLAUGHLIN RD N"
61,FLUTED POINT VALLEY,ENVIRONMENTAL PARKS,VALLEY,13.607999999999999,"MICHELANGELO BLVD, MCVEAN DR"
62,HUNTLEY PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.152,"TANAGER SQ, SANDALWOOD PKY E, HUNTLEY CRT"
63,WILLIAM SHEARD PKT,NEIGHBOURHOOD PARKS,PARKETTE,0.23399999999999999,"STONELEDGE CIR, RED STAG RD, URAL CIR"
64,HUTTONVILLE PARKETTE,ENVIRONMENTAL PARKS,VALLEY,0.209,"HUTTONVILLE DR, GRANDVIEW CRT"
65,REYNIER PARKETTE NORTH,NEIGHBOURHOOD PARKS,VEST POCKET,0.019,"REYNIER DR, SPARKLETT CRES"
66,REYNIER PARKETTE SOUTH,NEIGHBOURHOOD PARKS,VEST POCKET,0.046,"REYNIER DR, SPARKLETT CRES"
67,LASCELLES PARK EXTENSION,ENVIRONMENTAL PARKS,VALLEY,0.154,"LEACREST ST, LASCELLES BLVD, LEANDER ST"
68,LARANDE PARK,NEIGHBOURHOOD PARKS,PARKETTE,7.398,"LARANDE CRT, HELLYER AVE"
69,MEADOWLAND PARK,CONSERVATION AUTHORITY-OWNED LANDS(CITY MAINTAINED),CONSERVATION AREA,4.7010000000000005,"CLARENCE ST, MAIN ST S, MEADOWLAND DR, ELDOMAR AV"
70,KANASHIRO PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.8,"ANGE LUCCI DR, THORNDALE RD, GOULD CRT"
71,VICTORIA PARK EAST PATHWAY,ENVIRONMENTAL PARKS,LINK,0.375,BRAMALEA RD
72,FLAMINGO PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.183,"FLAMINGO CRES, FINSBURY DR, QUEEN ST E"
73,TOMMY SPRIGG PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.081,"GLEBE CRES, QUEEN ST E,  BRAMALEA RD"
74,VODDEN PARK,NEIGHBOURHOOD PARKS,VEST POCKET,0.7909999999999999,"VODDEN ST W, ENGLISH ST"
75,NORTH FLETCHERS CREEK PARK,CONSERVATION AUTHORITY-OWNED LANDS(CITY MAINTAINED),CONSERVATION AREA,2.755,"DENISON AVE, DUSTY AVE"
76,LA FRANCE PARK,NEIGHBOURHOOD PARKS,LOCAL,2.41,"LA FRANCE RD, LIBERATION DR, LEATHERHEAD CRT, WILLIAMS PKY"
77,BEATTY-FLEMING PARK,NEIGHBOURHOOD PARKS,LOCAL,0.763,"MCGLAUGHLIN RD, CAMPBELL DR, LESLIE ST"
78,SUTTER PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.151,"SUTTER AVE, AMBERWOOD SQ"
79,BLACKMERE PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.2,BLACKMERE CIR
80,ROLLINGWOOD PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.674,"ROLLINGWOOD DR, LENNON TRAIL, WILDSKY RD, YULE CRT"
81,SCOTCHMERE VISTA,ENVIRONMENTAL PARKS,VISTA,0.07400000000000001,TATRA CRES
82,SANDALWOOD VALLEY,ENVIRONMENTAL PARKS,VALLEY,2.387,"SANDALWOOD PKWY E, SUNFOREST DR, SUNSHADE PL, SOUTHWELL PL"
83,BELMONT PARK,ENVIRONMENTAL PARKS,CHANNEL,1.2890000000000001,"BENTWOOD DR, AVONDALE BLVD, BIRCHBANK RD, BELMONT DR"
84,WEYBRIDGE PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.253,"WEYBRIDGE TRAIL, WILLIAMS PKWY"
85,CENTENNIAL PARK,COMMUNITY PARKS,COMMUNITY PARK,16.605,"CENTRE ST S, MARY ST, WELLINGTON ST E, JAMES ST, CLARENCE ST, GUEST ST"
86,TIMBERLANE PARK,NEIGHBOURHOOD PARKS,LOCAL,1.1420000000000001,"TIMBERLANE  DR, WALLINGFORD CT"
87,ALBEMARLE PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.18600000000000003,BRAIDWOOD LAKE RD AND ALBEMARLE CRT
88,EASTBOURNE PARK,ENVIRONMENTAL PARKS,CHANNEL,8.377,PLAYGROUND; 2 BASKETBALL NETS
89,STEEPLEBUSH PARKETTE,ENVIRONMENTAL PARKS,LINK,0.602,"MINT LEAF BLVD, STEEPLEBUSH AVE"
90,DON MINAKER PARK,NEIGHBOURHOOD PARKS,LOCAL,1.197,"DON MINAKER DR, GALLUCCI CRES"
91,MARTINS GREEN PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.18,MARTIN'S  BLVD
92,WALTER BLATCHFORD CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,0.9279999999999999,"MAYFIELD RD, MAISONNEUVE BLVD, LEPARC RD, BELLEVILLE DR,"
93,CHRIS GIBSON PARK,COMMUNITY PARKS,COMMUNITY PARK,18.792,"MCLAUGHLIN RD N, DENISON AV, ROSSET CR, RAILROAD ST, AMSTERDAM CR"
94,DUNBLAINE PARK,ENVIRONMENTAL PARKS,LINK,1.092,"BALMORAL DR, DORCHESTER DR, DUNBLAINE CRES"
95,LONG JOHN MCCLURE POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.637,"EDENBROOK HILL DR, RIVER ROCK CRES"
96,CENTRAL PUBLIC SCHOOL PARK,COMMUNITY PARKS,COMMUNITY SPORTS PARK,2.862,"ELLEN ST, ALEXANDER ST"
97,NORTHWOOD PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.3619999999999999,"PARKWAY AV, CAMBRIDGE CR"
98,CHARLES F WATSON AND FAMILY GARDENS,NEIGHBOURHOOD PARKS,PARKETTE,0.366,"PEEL VILLAGE PKWY, MAIN ST S"
99,MCLOUGHLIN PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.321,JAMES ST
100,KIDD VALLEY,ENVIRONMENTAL PARKS,VALLEY,9.795,"THORNDALE RD, EBENEZER RD"
101,LOUGHEED PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.858,"CLEMENTINE DR, PANTOMINE BLVD"
102,WA RUSSELL PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.611,"ROYAL ORCHARD DR, SPRINGVIEW DR"
103,THOMAS BOWLES VALLEY,ENVIRONMENTAL PARKS,VALLEY,2.948,"IVORY TUSK CT, SANDALWOOD PY E"
104,DAFOE PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.303,"DAFOE CR, CHAROLAIS BV"
105,VIVIANS WOOD,ENVIRONMENTAL PARKS,WOODLOT,1.742,"DRINKWATER RD, VIVIANS CRES"
106,TERRY MILLER RECREATION CENTRE,COMMUNITY PARKS,COMMUNITY PARK,1.01,WILLIAMS PKWY
107,REEVE PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.258,"REEVE RD, ENGLISH ST"
108,MURRAY STREET PARK,NEIGHBOURHOOD PARKS,LOCAL,1.732,"MURRAY ST, PARK ESTATES CT"
109,FRED KEE PARK,NEIGHBOURHOOD PARKS,LOCAL,3.467,ROYAL ORCHARD DR
110,CHAMNEY COURT PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.128,"CHAMNEY CRT, BARTLEY BULL PKWY"
111,BERKSHIRE PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.22399999999999998,"BARRINGTON CRES, ROYAL PALM DR, BERKSHIRE SQ"
112,TURTLE CREEK PARK,NEIGHBOURHOOD PARKS,LOCAL,1.933,"TURTLECREEK BLVD, COUNTY COURT BLVD, MOSSBANK DR, SEMINOLE DR"
113,BLACKTHORN PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.063,"BLACKTHORN LANE, KENNEDY RD N"
114,MAJOR WILLIAM SHARPE PARK,NEIGHBOURHOOD PARKS,LOCAL,4.548,"MAJOR WILLIAM SHARPE DR, PHELPS DR, BURGBY AV"
115,VERITY PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.539,"VERITY CT, CHAROLAIS BV"
116,CITY HALL,OPERATIONS/ADMINISTRATION FACILITIES,OPERATIONS/ADMINISTRATION FACILITY,0.946,"WELLINGTON ST W, MAIN ST S, GEORGE ST S, QUEEN ST W"
117,CENTURY PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.192,"ARCHDEKIN DR, MAJOR OAKS DR"
118,JACOB SHOOK PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.825,"DEVONSLEIGH DR, QUANCE GATE, ANSBURY RD, "
119,MORROW PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.804,"SEVERIN ST, SPARHILL ST, KISTLER ST"
120,BLOOMINGDALE PARK,NEIGHBOURHOOD PARKS,VEST POCKET,0.2,"AMANTINE CRES, BLOOMINGDALE DR"
121,MIDSUMMER POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,0.613,MIDSUMMER DR
122,HOMESTEAD PARK,NEIGHBOURHOOD PARKS,LOCAL,2.8280000000000003,FLETCHER'S CREEK BV
123,CALDERSTONE PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.525,"DROOPING JUNIPER RD, KIDBROOK RD, BLUFFWOOD CRES, PURE BROOK CRES"
124,ANNE NASH PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.726,"COTTRELLE BLVD, PRINCESS VALLEY CRES, VALLEYCREEK DR"
125,BRIDEKIRK PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.48200000000000004,"MCLAUGHLIN RD S, BRIDEKIRK PL"
126,FERN VALLEY PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.106,"FERN VALLEY CR, LOFTY PINES PL"
127,CUNNINGTON PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.564,"BUSHBERRY RD, MELROSE GDNS"
128,KNIGHTSBRIDGE COMMUNITY AND SR CITIZENS' CENTRE,COMMUNITY PARKS,COMMUNITY PARK,0.11599999999999999,KNIGHTSBRIDGE RD
129,TRELEAVEN PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.631,"GREGORY ST, TRELEAVEN DR, ELLIOT DR, HAROLD ST"
130,KIWANIS MEMORIAL PARK,CONSERVATION AUTHORITY-OWNED LANDS(CITY MAINTAINED),CONSERVATION AREA,4.112,"BARTLEY BULL PY, MAIN ST S"
131,GAGE PARK,CITY PARKS,CITY PARK,1.64,"WELLINGTON ST W, MAIN ST S, ELIZABETH ST S"
132,KIWANIS YOUTH CENTRE FOR SPORTS EXCELLENCE,COMMUNITY PARKS,COMMUNITY PARK,1.2229999999999999,MCMURCHY AVE S
133,KIM VALLEY,NEIGHBOURHOOD PARKS,PARKETTE,1.153,"CHINGUACOUSY RD, TORRANCE WOODS"
134,ELLEN MITCHELL RECREATION CENTRE,COMMUNITY PARKS,COMMUNITY PARK,0.607,NORTH PARK DR
135,GREY WHALE PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.816,"GREY WHALE RD, WHALE COVE CRT, MOUNTAINASH RD"
136,CUTTERS PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.14,"CUTTERS CR, CHINGUACOUSY RD"
137,CAVENDISH PARK,NEIGHBOURHOOD PARKS,VEST POCKET,0.406,CAVENDISH CRES
138,FOXACRE PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.063,"FOXACRE ROW, KENNEDY RD N"
139,ALMOND PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.628,"ALMOND ST, DRUMMONDVILLE DR, OSHAWA DR"
140,HARTFORD WAY,ENVIRONMENTAL PARKS,LINK,1.065,"KENNEDY RD S, HARTFORD TRAIL"
141,JELLICOE PARK,NEIGHBOURHOOD PARKS,VEST POCKET,0.192,"JELLICOE CRES, JADE CRES"
142,ERNEST MAJURY PARK,COMMUNITY PARKS,COMMUNITY PARK,2.545,"BRENTWOOD DR, BALMORAL DR, DIXIE RD"
143,PARR LAKE SOUTH PARK,ENVIRONMENTAL PARKS,VALLEY,4.626,"LAURELCREST ST, VODDEN ST E, LONE OAK AV"
144,ERNEST AND EDITH PARR PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.373,"SUMMERSHADE ST, SPRINGWOOD HEIGHTS CRES"
145,JAMES AND MARGARET MCGIE PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.121,"NELLY CRT, BLOOMSBURY AVE, CROWN DR"
146,VALLEYCREEK VISTA,ENVIRONMENTAL PARKS,VISTA,0.073,VALLEYCREEK DR
147,HOWDEN PARK,COMMUNITY PARKS,COMMUNITY PARK,4.113,"HOWDEN BLVD, HANOVER RD, CENTRAL PARK DR"
148,YVONNE FLAKOWICZ PARK,ENVIRONMENTAL PARKS,WOODLOT,7.2860000000000005,"BARR CR, PINELLAS DR, RICHVALE DR S"
149,VAN SCOTT PARKETTE,NEIGHBOURHOOD PARKS,LOCAL,1.426,VAN SCOTT DR
150,DUMFRIES PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,1.1079999999999999,"DUMFRIES AVE, HURONTARIO ST"
151,HOSKINS PARKETTE,NEIGHBOURHOOD PARKS,LOCAL,0.231,DIXIE RD
152,HANOVER PARK,NEIGHBOURHOOD PARKS,VEST POCKET,0.833,HANOVER RD
153,LUNDY PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.091,"NOTTINGHAM DR, DIXIE RD"
154,GEORGE RANSIER PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.8190000000000001,"TOURNAMENT DR, PAPPAIN CRES"
155,STEACY PARK,NEIGHBOURHOOD PARKS,LOCAL,1.6059999999999999,"ELIZABETH ST S, MAIN ST S, ELGIN DR, MILL ST S"
156,BOREHAM PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.226,"CARNFORTH DR, RAMSGATE CRT, BOREHAM CIR, AXMINSTER RD, CONSERVATION DR"
157,CLOVER BLOOM PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.294,"CLOVER BLOOM RD, RAIN LILY LANE"
158,DAVENPORT PARK,NEIGHBOURHOOD PARKS,VEST POCKET,0.518,"BALMORAL DR, DAVENPORT CR"
159,DALTON PARK,ENVIRONMENTAL PARKS,OPEN SPACE,1.6369999999999998,"DALTON PL, BRAMALEA RD, DORSET DR"
160,COBBLEHILL PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.8740000000000001,"BAYLAWN CIR, CALDERSONE RD, COBBLEHILL CRES"
161,FRANK HARKEMA PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.7829999999999999,"BEAVERVALLEY DR,QUEEN MARY DR,"
162,TERAMOTO PARK,COMMUNITY PARKS,COMMUNITY PARK,16.387,"JAMES POTTER RD, QUEEN ST W, CHINGUACOUSY RD"
163,EVENING STARS PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.423,"BENMORE CRES, CRSTALHILL CRES"
164,SLED DOG PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.778,"SLED DOG RD, FATHER TOBIN RD"
165,UPPERLINKS PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.777,"VINTONRIDGE DR, ADASTRA PL, UPPERLINKS DR"
166,GATESGILL PARK,NEIGHBOURHOOD PARKS,LOCAL,1.849,"GATESGILL ST, MURRAY ST"
167,BUFFRIDGE PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.105,"CRESTHAVEN RD, BUFFRIDGE TR"
168,WHITE SPRUCE VALLEY NORTH,ENVIRONMENTAL PARKS,VALLEY,0.645,SANDALWOOD PKWY 
169,LASCELLES PARK NORTH,ENVIRONMENTAL PARKS,VALLEY,1.111,"LEACREST ST, LASCELLES BLVD, LEANDER ST"
170,HANSEN PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.253,"HANSEN RD N, WILLIAMS PKY"
